Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
Mai-19,26,21.7,12.2,7.1,14.5,3.4,2.8,4.2,5.1,3.1
19-Apr,26.2,22.5,10.6,7.5,15.9,3.5,2.9,3.9,4.5,2.6
Mars-19,26.7,24.3,11.3,7.5,13.7,3.4,2.2,4,5,1.9
19-Feb,28,22.9,11.3,7.7,13.2,3.5,2.6,3.4,5.5,2
19-Jan,28.3,24.2,12.3,7.4,11.9,3.5,3.3,3.1,4,1.4
Desember-18,27.7,25,13,7,11.4,3.6,3.6,3,4.1,1.3
18-Nov,28.7,25.4,12.8,6.3,11.3,3.9,3.7,2.7,3.9,1.4
Oktober-18,27.2,25.7,13.3,6.8,11,4.1,3.4,2.8,3.9,1.8
18-Sep,26.5,26.2,13.9,6.4,10.8,3.5,3.4,2.8,4.6,1.9
18-Aug,26.1,25.8,12.8,6.7,11.7,4.2,3.8,3.1,4.6,1.3
Juli-18,23.7,26.3,14.8,7.5,9.7,5,3.4,3.7,3.9,2
Juni-18,23.2,27.2,13.4,7.3,11,4.1,4.1,3,4.8,1.9
Mai-18,24.1,26.8,14.9,7.2,10.7,4,4,2.9,3.7,1.7
18-Apr,23.8,25.8,15.8,7.3,10.9,4.2,3.7,2.8,4.3,1.4
Mars-18,23.7,27.1,15.2,6.6,11.3,4,4.2,2.9,3.3,1.5
18-Feb,23.3,28.6,13.7,7.3,10.7,4,4.3,3.4,3.2,1.2
18-Jan,22.4,29,14.2,7.5,11.1,4.2,4.1,3,3,1.4
Desember-17,26.2,26.6,14.4,7.1,10.6,4.1,4,3.4,2.4,1.2
17-Nov,26.2,26.4,14.6,6.9,10.5,3.8,4.3,2.8,3,1.2
Oktober-17,26.1,26.5,13.9,6.6,10.5,3.8,4.3,3.7,2.8,1.5
17-Sep,26.9,24.4,14.6,6.1,10.2,4.4,4.2,3.9,3.3,1.8
17-Aug,27.9,23.8,14.5,5.6,10.7,4.8,3.6,4,3,2
Juli-17,32.1,22,13.3,4.6,11.4,4.9,3.4,4,2.3,2.2
Juni-17,31.7,23.1,13.4,4.3,12.1,4.5,3.3,3.2,2.4,2.1
