Dato,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt,Andre
8/9/2025,28,23.8,14.6,5.6,5.6,4.2,3.7,4.7,5.3,4.5
13/09/2021,26.3,20.4,11.6,7.6,13.5,3.8,4.6,3.9,4.7,3.6
11/9/2017,27.4,25,15.2,6,10.3,4.2,4.4,3.2,2.4,1.9
9/9/2013,30.8,26.8,16.3,4.1,5.5,5.6,5.2,2.8,1.1,1.8
14-09-2009,35.4,17.2,22.9,6.2,6.2,5.5,3.9,0.3,1.3,1.1
