Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Type,Undertype,Skjebne,Strategi,Antal_dager,Antall_mediesaker,Kort_beskrivelse
11/30/2011,1,0,0,0,0,0,0,0,0,Privatliv,Overgrep,Trakk seg,Dementi,1000,11394,Rune Øygard trakk seg som ordfører i Vågå etter å ha blitt dømt for seksuell omgang med mndreårlige. Saken gikk over flere år
12/31/2011,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
1/31/2012,0,0,0,1,0,0,0,0,0,Makt,Habilitet,Trakk seg,Rettferdiggjøring,27,6824,"Audun Lysbakken gav penger til egen organisasjon Jenteforsvaret, underlagt SU"
2/29/2012,0,0,0,0,0,0,1,0,0,Privatliv,Overgrep,Trakk seg,Beklagelse,7,1930,Helge Solum Ilsen ble anmmeldt for voldtekt mot 17 år gammel jente etter et arrangement i regi av Unge venstre
3/31/2012,0,1,0,0,0,0,0,0,0,Privatliv,Rus,Trakk seg,Dementi,7,910,Henning Warloe ble tatt for besittelse av narkotika etter razzia mot sin stortingsleilighet
4/30/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
5/31/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
6/30/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
7/31/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
8/31/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
9/30/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
10/31/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
11/30/2012,1,0,0,0,0,0,0,0,0,Privatliv,Overgrep,Trakk seg,Beklagelse,8,3300,Roger Ingebrigtsen innrømte seksuell relasjon med 17-åring i partiet da han sel var 37
12/31/2012,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
1/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
2/28/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
3/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
4/30/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
5/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
6/30/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
7/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
8/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
9/30/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
10/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
11/30/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
12/31/2013,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
1/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
2/28/2014,0,1,0,0,0,0,0,0,0,Privatliv,Rus,Trakk seg,Beklagelse,7,819,Erik Skutle la seg flat og trakk seg fra alle verv etter å ha blitt pågrepet og siktet i en større narkotikasak i Hordaland
3/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
4/30/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
5/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
6/30/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
7/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
8/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
9/30/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
10/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
11/30/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
12/31/2014,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
1/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
2/28/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
3/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
4/30/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
5/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
6/30/2015,0,1,0,0,0,0,0,0,0,Økonomisk,Økonomisk korrupsjon,Trakk seg,Rettferdiggjøring,12,653,Trude Drevland var gudmor for skipet Viking Star og fått påspandert tur med privatjet til Venezia. 
7/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
8/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
9/30/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
10/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
11/30/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
12/31/2015,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
1/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
2/29/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
3/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
4/30/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
5/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
6/30/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
7/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
8/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
9/30/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
10/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
11/30/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
12/31/2016,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
1/31/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
2/28/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
3/31/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
4/30/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
5/31/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
6/30/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
7/31/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
8/31/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
9/30/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
10/31/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
11/30/2017,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
12/31/2017,1,0,0,0,0,0,0,0,0,Privatliv,Trakkasering,Trakk seg,Dementi,26,2791,Trond Giske trakk seg som nestleder i Arbeiderpartiet etter mange varslingssaker om trakkassering
1/31/2018,0,0,1,0,0,0,0,0,0,Privatliv,Trakkasering,Trakk seg,Beklagelse,7,524,"Ulf Leirstein sendte pornografisk materiale til unge, mannlige partifeller i hjemfylket Østfold"
2/28/2018,0,1,0,0,0,0,0,0,0,Privatliv,Trakkasering,Trakk seg,Beklagelse,9,468,Kristan Tonning Riise meldte selv på facebook om oevetrampt mot unge jenter på Unge Høyre-arrangement
3/31/2018,0,1,0,0,0,0,0,0,0,Makt,Kostnadssprekk,Trakk seg,Rettferdiggjøring,22,1684,Olemic Thommesen var stortingspresident og ansvarlig for en stor kostnadssprekk for bygging av ny garasje og postmottak til stortinget.
4/30/2018,0,0,1,0,0,0,0,0,0,Prat,-,Trakk seg,Dementi,8,5469,"Sylvi Listhaug la ut et bilde på facebook som tilsynelatende er en fremmedkringer med teksten ""Arbeiderpartiet mener terroristers rettiheter er viktigere enn nasjonens sikkerhet"". Listhaug trakk seg til slutt som minister"
5/31/2018,,,,,,,,,,,,,,,,
6/30/2018,,,,,,,,,,,,,,,,
7/31/2018,,,1,,,,,,,Makt,Lekkasje,Trakk seg,Dementi,21,4118,Per Sandberg trakk seg som statsråd etter å ha tatt med jobbtelefonen på ferie til Iran
8/31/2018,,,,,,,,,,,,,,,,
9/30/2018,,,,,,,,,,,,,,,,
10/31/2018,,,1,,,,,,,Økonomi,Underslag,Trakk seg,Beklagelse,5,318,Mazyar Keshvari mottok støtte til reiser som ikke fant sted for ca 290 000 kr
11/30/2018,,,,,,,,,,,,,,,,
12/31/2018,,,,,,,1,,,Prat,-,Ble sittende,Beklagelse,7,491,Trine Skei Grande skjelte ut Abid Raja ovenfor Henrik Asheim på telefon uten å vite hun var på høytaler med blant andre Raja
1/31/2019,,,,,,,,,,,,,,,,
2/28/2019,,,,,,,,,,,,,,,,
3/31/2019,,,1,,,,,,,Privatliv,Lovbrudd,Trakk seg,-,9,561,Tor Mikkel Wara trakk seg som justisminister etter hans samboer hadde fabrikert herverk mot parets bolig
4/30/2019,,,,,,,,,,,,,,,,
5/31/2019,,,,,,,,,,,,,,,,
6/30/2019,,,,,,,,,,,,,,,,
7/31/2019,,,,,,,,,,,,,,,,
8/31/2019,,,,,,,,,,,,,,,,
9/30/2019,,,,,,,,,,,,,,,,
10/31/2019,,,,,,,,,,,,,,,,
11/30/2019,,,,,,,,,,,,,,,,
12/31/2019,,,,,,,,,,,,,,,,
1/31/2020,,,,,,,,,,,,,,,,
2/29/2020,,1,,,,,,,,Økonomi,Underslag,Trakk seg,,9,688,Geir Inge Sivertsen trakk seg som statsråd etter det kom fram at han hadde søkt om etterlønn han ikke hadde rett på da han ble statssekretær
3/31/2020,,,,,,,,,,,,,,,,
4/30/2020,,,,,,,,,,,,,,,,
5/31/2020,,,,,,,,,,,,,,,,
6/30/2020,,,,,,,,,,,,,,,,
7/31/2020,,,,,,,,,,,,,,,,
