Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2010-08-31;26.6;27.1;22.8;5.6;5.0;5.3;4.6;0.0;1.8;1.2
2010-09-30;27.5;27.2;22.9;5.5;5.0;4.6;4.5;0.0;1.6;1.2
2010-10-31;28.9;26.1;23.6;5.4;4.7;4.3;4.1;0.0;1.6;1.3
2010-11-30;27.7;26.2;24.1;5.5;4.9;4.6;4.4;0.0;1.5;1.0
2010-12-31;26.1;26.1;25.3;5.8;4.9;4.7;4.2;0.0;1.5;1.4
2011-01-31;27.5;26.3;23.8;5.5;4.9;4.6;4.3;0.0;1.5;1.5
2011-02-28;27.7;26.2;23.2;5.7;4.9;4.8;4.8;0.0;1.5;1.2
2011-03-31;28.2;27.2;22.2;6.0;4.9;4.4;4.1;0.0;1.6;1.3
2011-04-30;29.3;27.0;18.9;5.8;5.3;5.0;5.3;0.0;1.6;1.7
2011-05-31;29.9;27.3;19.2;5.6;5.1;4.9;5.3;0.0;1.6;1.1
2011-06-30;29.1;29.0;19.1;5.2;5.0;5.4;4.3;0.0;1.6;1.2
2011-07-31;31.2;27.0;19.7;5.5;4.5;4.9;4.4;0.0;1.3;1.1
2011-08-31;38.4;22.5;17.2;5.3;4.5;5.1;4.1;0.0;1.5;1.2
2011-09-30;34.0;27.1;16.5;4.3;5.2;4.7;5.4;0.0;1.6;1.4
2011-10-31;33.9;29.3;13.8;4.5;4.6;5.3;4.9;0.0;1.7;1.8
2011-11-30;32.7;29.1;15.2;4.4;5.3;5.1;5.2;0.0;1.5;1.5
2011-12-31;32.7;29.6;15.0;4.2;5.2;5.4;5.1;0.0;1.3;1.6
2012-01-31;34.7;29.3;13.7;4.1;5.0;5.3;4.9;0.0;1.7;1.3
2012-02-29;34.4;27.9;14.4;4.8;5.1;5.1;5.3;0.0;1.3;1.6
2012-03-31;32.9;27.9;16.3;4.5;5.3;5.4;4.6;0.2;1.3;1.7
2012-04-30;30.5;29.4;17.3;4.5;5.1;5.1;5.2;0.2;1.4;1.4
2012-05-31;30.8;30.9;16.0;4.2;4.6;5.1;4.7;0.2;1.5;1.9
2012-06-30;29.9;32.0;16.2;4.3;4.7;4.7;4.8;0.1;1.5;1.8
2012-07-31;29.8;30.5;18.4;3.9;4.8;5.0;4.4;0.2;1.2;1.5
2012-08-31;30.2;31.6;17.3;4.0;4.4;4.6;4.7;0.2;1.7;1.3
2012-09-30;29.2;33.5;16.6;3.9;4.3;5.2;3.9;0.6;1.8;1.0
2012-10-31;27.8;33.9;17.2;4.1;4.4;5.0;4.5;0.5;1.4;1.3
2012-11-30;29.6;31.4;17.0;4.4;4.5;5.0;4.9;0.3;1.5;1.2
2012-12-31;28.6;32.0;16.2;4.3;4.7;5.3;5.2;0.6;1.8;1.2
2013-01-31;28.6;33.6;15.9;4.1;4.4;5.5;4.4;0.6;1.4;1.3
2013-02-28;28.4;32.9;15.6;4.9;4.7;5.3;4.5;0.9;1.4;1.3
2013-03-31;28.1;32.4;16.8;4.4;4.8;5.2;4.7;1.0;1.4;1.1
2013-04-30;27.7;32.6;16.5;5.0;4.8;5.1;4.5;1.0;1.5;1.4
2013-05-31;28.9;31.8;16.0;4.7;4.5;5.3;4.7;1.4;1.5;1.3
2013-06-30;28.6;32.0;16.4;4.3;4.5;5.3;4.2;1.5;1.5;1.5
2013-07-31;28.0;31.6;16.2;3.9;4.6;5.2;5.2;2.3;1.9;1.2
2013-08-31;29.0;28.9;15.2;4.3;5.3;5.4;5.3;3.5;1.5;1.5
2013-09-30;29.7;27.0;15.9;4.8;5.1;6.0;5.5;3.2;1.4;1.4
2013-10-31;31.9;27.8;14.6;4.1;4.7;5.5;5.6;3.2;1.3;1.3
2013-11-30;32.2;27.9;14.5;4.0;5.0;5.4;5.4;3.3;1.2;1.1
2013-12-31;33.3;27.8;14.2;3.9;4.8;5.4;5.2;2.9;1.2;1.3
2014-01-31;33.5;29.1;13.6;3.9;4.5;5.3;4.7;3.1;1.2;1.2
2014-02-28;33.8;28.7;13.3;3.9;4.9;5.3;4.8;3.0;1.2;1.1
2014-03-31;34.6;26.9;14.3;3.8;4.9;5.0;5.1;3.1;1.4;1.1
2014-04-30;34.2;27.5;14.0;3.7;4.5;5.4;5.3;3.0;1.3;1.3
2014-05-31;33.9;26.9;13.7;4.0;5.1;5.3;5.2;3.4;1.3;1.2
2014-06-30;35.0;26.3;13.8;3.5;5.3;5.2;4.8;3.6;1.3;1.3
2014-07-31;36.3;26.8;12.3;3.0;5.3;4.6;5.3;3.6;1.5;1.2
2014-08-31;34.5;26.9;13.9;3.9;5.2;5.1;4.7;3.7;1.2;1.2
2014-09-30;35.0;26.6;14.1;3.6;5.0;5.1;4.8;3.5;1.2;1.0
2014-10-31;37.3;25.2;13.5;3.6;5.2;4.7;4.6;3.6;1.3;1.1
2014-11-30;40.2;22.6;11.5;3.9;5.3;5.9;4.7;3.5;1.4;1.0
2014-12-31;41.4;22.5;11.3;3.8;5.2;5.4;4.7;3.5;1.3;0.9
2015-01-31;41.5;22.6;11.3;3.7;5.4;5.3;4.6;3.4;1.2;1.1
2015-02-28;41.9;21.3;11.2;3.9;5.7;5.3;4.7;3.6;1.4;1.1
2015-03-31;41.4;22.7;10.4;3.6;5.8;5.5;4.5;3.2;1.5;1.0
2015-04-30;39.5;23.0;11.0;3.6;5.6;5.7;4.9;4.0;1.4;1.0
