Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2008-06-30;28.602677676739113;18.05408898190302;25.97338841963515;6.539324418306589;5.5930987694452625;6.451452301751197;6.184583708444389;0.0;1.2715154346922795;0.018056537394327634
2008-07-31;26.440390670348524;17.227351220805748;28.78034794258729;6.841773030893901;4.808852292957946;6.098733859884934;6.151174125944594;0.0891684270231569;1.8882243743483602;0.1444512475265112
2008-08-31;25.80921398503595;17.305994423400207;30.75344196040689;6.273995421576484;5.543448662024945;5.843062607348681;5.77423535128365;0.0;2.1973773182142344;0.0
2008-09-30;26.8986826758004;15.581510723452485;30.633240667626286;6.780823482122007;4.7442816450509495;5.981118328842259;6.10420999464334;0.0043876986283875544;1.797072343562558;0.18649959204224376
2008-10-31;28.844511845713143;16.25196392563444;28.578271463445574;6.685911282492474;4.87853079599531;5.750953947478234;6.1594527157554655;0.08293910106992597;1.1930596458756433;0.1272031551772811
2008-11-30;31.091653028096108;16.52415198541271;25.776034780258176;6.966295459801099;5.127392720545655;5.9959146260875595;5.7879881032224345;0.0;1.0331287465241692;0.09960104603836104
2008-12-31;31.050715947716174;17.085705216126065;24.046069606056612;7.585252264586654;5.895426095245883;6.051892352102645;5.564827287998287;0.08131971589933427;1.2084664025308287;0.0
2009-01-31;32.41424415226288;15.483593087708181;23.029645626347186;7.538592126773111;6.4730276847933474;6.35424252688259;5.6959184010006645;0.0;0.5865074890922187;0.0
2009-02-28;34.00500977681314;15.059392081653343;23.0223545389894;7.217234674158618;6.271771393335284;5.91247270727189;5.309713650674232;0.09975055425535034;0.40871580387464007;0.01872559924886394
2009-03-31;32.86886162572937;14.53040036269135;24.701079106315916;7.218907246982469;5.896340465214474;6.304362748714141;5.447343254561728;0.14180204690618553;0.2726911219761657;0.10471296083015626
2009-04-30;31.596208078248576;13.661000565070397;27.682780042654738;7.558053387269408;5.8206297981784845;6.235549529666731;5.169338676169558;0.0;0.0;0.026496857039831657
2009-05-31;33.931843956778195;13.414363365359465;25.782940116251662;7.154536576994511;5.56498500182361;6.013816512403647;5.263310431582884;0.034867928718598784;0.0;0.1339777047399595
2009-06-30;33.15947630682623;14.155144228910853;26.402101149650388;7.085298411906524;5.115737533025998;5.8434268062234445;5.2623495114496;0.07628702398355108;0.0;0.048162195369530016
2009-07-31;33.3443618035;13.568445865382811;26.349158858524564;7.226539097023235;5.61800652758794;5.962673585342558;5.327812166885666;0.0;0.0;0.011661075212527764
2009-08-31;32.69972644967599;13.412783116723304;27.37621462178191;7.300590542058728;5.267642480843157;6.1242402098524735;5.124983142367762;0.021096723244652338;0.07846804290743448;0.0
2009-09-30;33.26081791865892;13.634441756537809;25.035290996248285;7.402056641657231;5.8350785924079895;6.104032528082866;5.427199902761216;0.03769044440298755;0.0;0.28499614274444246
