,cutoff,party,steps,last_pop,model_est,actual_election_result,error_forecast,error_baseline,relative_error_forecast,relative_error_baseline,better_than_baseline,better_than_baseline_relative
0,2024-09-30,Ap,13,20.6,27.1635849205325,28.2,1.0364150794674991,7.599999999999998,0.03675230778253543,0.2695035460992907,True,True
1,2024-09-30,Hoyre,13,24.6,17.503310734400834,14.6,2.9033107344008346,10.000000000000002,0.19885689961649552,0.6849315068493153,True,True
2,2024-09-30,Frp,13,18.9,26.203006712881084,23.9,2.3030067128810856,5.0,0.09636011350966886,0.2092050209205021,True,True
3,2024-09-30,SV,13,9.0,1.7420930284655443,5.5,3.7579069715344557,3.5,0.6832558130062647,0.6363636363636364,False,False
4,2024-09-30,SP,13,6.0,12.162763265059937,5.3,6.862763265059937,0.7000000000000002,1.2948609934075352,0.13207547169811323,False,False
5,2024-09-30,KrF,13,2.9,7.452981960753069,4.2,3.2529819607530692,1.3000000000000003,0.7745195144650164,0.3095238095238096,False,False
6,2024-09-30,Venstre,13,5.1,5.771994027948105,3.8,1.9719940279481047,1.2999999999999998,0.5189457968284487,0.3421052631578947,False,False
7,2024-09-30,MDG,13,3.3,-5.99419963236874,4.7,10.69419963236874,1.4000000000000004,2.2753616239082426,0.29787234042553196,False,False
8,2024-09-30,Rodt,13,5.6,3.0277641111261975,5.3,2.2722358888738023,0.2999999999999998,0.4287237526176986,0.05660377358490563,False,False
9,2024-10-31,Ap,12,19.9,24.540534019093258,28.2,3.6594659809067416,8.3,0.12976829719527452,0.2943262411347518,True,True
10,2024-10-31,Hoyre,12,23.4,16.968385733966684,14.6,2.3683857339666847,8.799999999999999,0.16221820095662223,0.6027397260273972,True,True
11,2024-10-31,Frp,12,20.3,27.79691026692747,23.9,3.8969102669274704,3.599999999999998,0.16305063878357617,0.15062761506276143,False,True
12,2024-10-31,SV,12,8.8,3.706207652461808,5.5,1.7937923475381918,3.3000000000000007,0.32614406318876216,0.6000000000000001,True,True
13,2024-10-31,SP,12,5.8,9.491903034076444,5.3,4.191903034076444,0.5,0.7909251007691404,0.09433962264150944,False,False
14,2024-10-31,KrF,12,3.3,6.910598221196734,4.2,2.710598221196734,0.9000000000000004,0.6453805288563652,0.21428571428571436,False,False
15,2024-10-31,Venstre,12,5.5,6.618211761303781,3.8,2.8182117613037816,1.7000000000000002,0.741634674027311,0.44736842105263164,False,False
16,2024-10-31,MDG,12,3.5,-4.151083712890007,4.7,8.851083712890008,1.2000000000000002,1.883209300614895,0.25531914893617025,False,False
17,2024-10-31,Rodt,12,5.9,3.8777080139397446,5.3,1.4222919860602552,0.6000000000000005,0.26835697850193496,0.11320754716981142,False,False
18,2024-11-30,Ap,11,18.7,21.447575543802827,28.2,6.752424456197172,9.5,0.23944767575167278,0.33687943262411346,True,True
19,2024-11-30,Hoyre,11,22.4,13.365245361308384,14.6,1.2347546386916157,7.799999999999999,0.084572235526823,0.5342465753424657,True,True
20,2024-11-30,Frp,11,22.0,30.157034793796004,23.9,6.257034793796006,1.8999999999999986,0.2618006189872806,0.07949790794979074,False,False
21,2024-11-30,SV,11,9.0,5.0862822086026895,5.5,0.41371779139731046,3.5,0.07522141661769281,0.6363636363636364,True,True
22,2024-11-30,SP,11,6.6,10.06542155670158,5.3,4.76542155670158,1.2999999999999998,0.899136142773883,0.2452830188679245,False,False
23,2024-11-30,KrF,11,3.1,6.360009405186624,4.2,2.1600094051866234,1.1,0.5142879536158627,0.2619047619047619,False,False
24,2024-11-30,Venstre,11,5.1,7.054779250280659,3.8,3.2547792502806594,1.2999999999999998,0.8565208553370157,0.3421052631578947,False,False
25,2024-11-30,MDG,11,3.4,-2.1750194645705982,4.7,6.875019464570599,1.3000000000000003,1.4627700988448082,0.27659574468085113,False,False
26,2024-11-30,Rodt,11,5.9,4.43765894614807,5.3,0.8623410538519298,0.6000000000000005,0.16270585921734526,0.11320754716981142,False,False
27,2024-12-31,Ap,10,17.2,18.598059932935985,28.2,9.601940067064014,11.0,0.3404943286192913,0.3900709219858156,True,True
28,2024-12-31,Hoyre,10,21.2,6.0153950773829585,14.6,8.584604922617041,6.6,0.5879866385354138,0.4520547945205479,False,False
29,2024-12-31,Frp,10,25.4,38.65763938680448,23.9,14.757639386804485,1.5,0.6174744513307316,0.06276150627615062,False,False
30,2024-12-31,SV,10,9.4,6.2854069437623235,5.5,0.7854069437623235,3.9000000000000004,0.14280126250224062,0.7090909090909091,True,True
31,2024-12-31,SP,10,5.3,8.429133586940264,5.3,3.129133586940264,0.0,0.5904025635736347,0.0,False,False
32,2024-12-31,KrF,10,3.9,6.9336564948728245,4.2,2.7336564948728244,0.30000000000000027,0.6508705940173392,0.0714285714285715,False,False
33,2024-12-31,Venstre,10,5.3,7.560769100813701,3.8,3.760769100813701,1.5,0.9896760791615004,0.39473684210526316,False,False
34,2024-12-31,MDG,10,3.1,-1.5595095751232777,4.7,6.259509575123278,1.6,1.3318105478985698,0.3404255319148936,False,False
