,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt
26343,46,27,37,13,15,8,3,9,13
26344,51,25,38,13,12,8,9,7,11
26345,53,26,37,12,12,3,8,8,11
26346,51,27,38,13,12,7,9,3,10
26347,43,27,42,13,12,7,8,8,13
26348,47,24,42,13,11,7,9,9,12
26349,48,27,39,13,14,3,8,3,12
26350,48,26,40,13,12,3,9,8,12
26351,50,27,41,13,12,3,3,3,12
26352,49,27,39,12,14,3,7,8,12
26353,48,25,37,13,15,7,9,9,11
26354,45,28,43,12,11,3,9,7,13
26355,49,26,37,14,12,3,9,8,11
26356,47,33,39,12,12,2,8,3,12
26357,46,29,41,13,13,3,3,8,12
26358,50,24,43,13,12,3,8,8,12
26359,52,30,41,12,9,3,7,3,11
26360,50,27,40,12,11,3,8,8,11
26361,48,26,38,13,14,3,9,8,12
26362,48,26,42,13,10,8,9,7,11
26363,42,31,39,13,12,3,9,8,12
26364,47,29,39,13,13,3,8,8,12
26365,46,29,40,13,14,3,8,7,11
26366,46,30,39,13,10,8,9,3,13
26367,51,27,36,14,12,3,9,7,12
26368,47,28,41,12,13,3,8,8,11
26369,49,29,40,13,11,3,8,8,12
26370,50,22,41,14,14,3,9,8,11
26371,47,25,38,12,17,3,9,8,12
26372,45,31,41,13,12,3,8,8,12
26373,49,27,38,13,13,7,8,8,11
26374,50,27,41,13,12,3,9,7,10
26375,51,30,38,12,9,3,8,8,11
26376,45,30,41,12,12,8,9,3,11
26377,47,26,42,14,12,3,8,8,13
26378,51,26,36,12,16,3,8,3,10
26379,47,25,42,14,12,3,9,8,11
26380,51,28,36,13,13,3,8,9,11
26381,52,27,38,11,14,7,8,8,11
26382,49,27,39,12,12,7,9,7,12
26383,54,26,39,13,10,7,8,8,10
26384,46,26,41,12,13,3,9,8,12
26385,46,30,41,12,13,3,9,8,11
26386,48,28,42,11,13,3,10,3,11
26387,48,29,42,13,11,3,7,3,13
26388,48,29,40,13,13,2,8,8,12
26389,52,25,38,12,13,3,7,7,12
26390,48,32,33,13,13,3,10,3,12
26391,51,27,38,13,13,3,8,8,11
26392,51,27,37,12,14,3,7,3,12
26393,46,29,38,13,13,3,8,8,12
26394,49,28,39,13,14,3,8,3,12
26395,52,28,37,12,13,3,8,3,13
26396,46,27,40,13,12,3,8,8,12
26397,46,27,39,14,13,8,9,8,13
26398,46,29,39,13,15,3,9,3,10
26399,47,29,40,12,14,3,8,3,11
26400,45,26,42,13,14,3,8,8,12
26401,49,30,38,12,13,3,8,8,10
26402,46,29,38,11,14,3,9,7,13
26403,52,24,38,12,14,3,9,8,12
26404,49,28,39,14,12,3,8,7,12
26405,46,28,39,13,13,7,8,8,12
26406,51,28,39,13,12,3,3,3,11
26407,51,27,37,12,15,3,8,3,11
26408,48,27,38,13,15,3,8,8,13
26409,43,25,42,14,15,3,10,7,12
26410,49,27,38,12,13,3,8,9,11
26411,52,31,39,12,8,2,8,8,12
26412,44,29,42,13,10,8,9,8,12
26413,43,28,41,13,14,3,8,7,13
26414,54,24,39,12,13,3,8,7,11
26415,49,27,37,13,15,3,8,3,12
26416,53,25,41,12,9,3,7,7,12
26417,46,27,39,14,14,3,9,3,13
26418,46,26,41,14,13,3,9,3,12
26419,51,27,40,13,10,7,8,7,12
26420,49,30,40,12,11,3,8,7,11
26421,47,30,39,13,11,3,8,7,14
26422,49,25,40,13,14,7,9,3,11
26423,49,29,38,13,15,3,8,7,11
26424,46,27,40,13,14,3,9,3,13
26425,43,27,46,14,9,7,9,8,12
26426,48,27,41,12,14,3,7,3,12
26427,52,28,37,11,15,3,3,7,12
26428,50,29,37,12,15,3,8,3,11
26429,49,28,39,13,14,3,3,3,12
26430,51,28,40,12,14,3,3,3,12
26431,49,28,39,12,14,2,7,8,12
26432,52,26,41,12,13,3,8,8,11
26433,44,29,42,13,16,3,3,3,12
26434,49,29,38,11,13,3,8,7,12
26435,49,26,39,14,13,7,8,3,12
26436,45,31,38,12,12,3,8,8,14
26437,51,26,42,12,13,3,8,3,11
26438,45,27,43,13,13,3,7,3,12
26439,49,31,37,12,13,3,8,8,12
26440,54,29,38,12,12,3,8,7,10
26441,53,28,36,12,12,3,3,8,12
26442,51,27,40,12,10,3,9,7,11
26443,43,28,41,15,13,3,9,8,13
26444,49,28,40,11,13,3,8,3,12
26445,45,27,41,13,13,8,8,8,12
26446,48,30,39,12,11,3,8,3,12
26447,47,27,42,12,12,3,3,3,13
26448,48,28,40,13,11,3,8,8,11
26449,50,30,38,12,12,3,8,7,12
26450,49,26,40,13,14,3,9,8,11
26451,50,28,38,13,12,3,7,8,11
26452,47,28,42,13,12,3,8,3,11
26453,48,25,40,14,14,3,8,3,12
26454,58,27,32,13,10,7,8,3,12
26455,49,30,35,13,12,3,9,3,12
26456,51,27,38,12,14,3,8,3,11
26457,50,28,41,12,12,3,3,3,12
26458,50,23,40,13,14,3,8,8,12
26459,49,25,39,12,13,8,9,8,12
26460,50,26,40,12,12,7,9,7,11
26461,50,26,35,12,15,3,9,7,11
26462,47,28,43,12,12,3,3,8,10
26463,51,28,37,12,12,7,3,8,12
26464,48,24,39,15,13,3,9,7,12
26465,50,27,38,12,14,3,8,3,12
26466,50,28,37,13,11,3,9,3,11
26467,51,28,37,13,11,3,8,8,11
26468,48,28,42,12,13,3,3,7,11
26469,47,30,36,12,12,8,10,8,11
26470,44,28,39,14,15,3,8,3,13
26471,52,25,39,12,13,3,7,3,12
26472,49,30,36,12,13,8,7,8,11
26473,50,26,38,14,11,8,8,8,12
26474,51,26,39,12,14,3,8,8,11
26475,46,31,39,14,11,3,7,8,12
26476,48,27,37,14,14,3,9,7,12
26477,49,27,36,13,12,3,9,8,11
26478,50,28,39,15,9,3,8,8,11
26479,50,26,37,13,12,3,9,8,11
26480,53,30,36,12,12,3,3,3,12
26481,46,31,39,11,13,3,8,8,12
26482,49,30,36,13,14,2,8,3,12
26483,49,26,38,13,14,3,8,3,12
26484,52,24,37,13,13,3,8,8,12
26485,49,26,43,13,11,3,8,8,12
26486,48,28,41,12,13,3,8,8,11
26487,51,27,40,14,11,3,3,7,11
26488,52,29,36,12,9,7,9,8,10
26489,47,23,41,13,14,8,9,9,12
26490,51,27,41,11,11,7,3,8,11
26491,47,28,39,12,13,7,8,8,12
26492,44,32,37,13,12,8,9,8,12
26493,47,33,39,13,11,3,7,8,11
26494,51,26,39,13,11,3,8,3,12
26495,49,27,38,13,14,3,9,3,11
26496,54,25,40,12,10,3,9,3,10
26497,45,28,40,14,13,3,3,8,13
26498,48,28,41,13,13,3,8,3,10
26499,50,24,38,13,14,3,9,3,12
26500,51,24,42,13,9,3,9,10,11
26501,47,30,39,13,14,3,3,8,11
26502,49,27,39,12,12,3,8,8,12
26503,45,28,40,13,14,8,9,8,11
26504,53,25,38,12,10,3,8,9,12
26505,51,24,41,11,12,3,9,8,11
26506,50,27,41,11,14,3,8,8,12
26507,47,25,42,13,10,7,9,9,12
26508,46,29,37,13,14,3,9,7,12
26509,50,29,37,12,11,3,8,3,13
26510,51,27,38,13,12,3,8,3,12
26511,48,27,40,13,11,8,8,8,11
26512,47,27,38,14,12,7,9,9,10
26513,49,27,40,13,9,3,8,8,13
26514,51,32,38,12,10,3,7,3,11
26515,51,28,38,14,12,3,8,7,11
26516,47,29,36,13,12,3,8,9,12
26517,48,28,39,14,13,3,8,3,11
26518,49,27,38,13,12,3,8,8,13
26519,45,27,43,13,11,3,9,8,11
26520,47,30,35,13,13,3,10,8,13
26521,44,31,40,12,12,3,8,8,11
26522,48,26,42,12,12,3,8,7,12
26523,49,26,41,14,11,3,8,7,11
26524,49,27,38,13,11,8,9,8,12
26525,48,30,39,12,11,3,8,8,12
26526,50,26,40,11,15,3,8,8,12
26527,47,28,42,11,13,3,8,3,12
26528,52,24,37,13,14,3,8,8,11
26529,44,28,39,14,13,3,8,9,12
26530,48,22,42,13,14,3,9,3,12
26531,48,25,40,13,13,8,8,7,12
26532,47,29,38,13,13,3,9,3,12
26533,46,28,39,15,14,3,9,7,11
26534,47,29,41,13,13,3,3,7,11
26535,49,30,37,12,10,3,10,8,11
26536,51,27,39,13,11,3,8,7,11
26537,51,27,40,13,10,3,8,8,12
26538,52,27,38,13,12,3,8,8,10
26539,51,25,42,13,13,3,3,8,12
26540,48,27,40,13,13,3,3,9,12
26541,47,28,40,13,12,3,9,8,11
26542,51,26,39,13,9,8,9,8,11
26543,47,31,39,13,11,3,9,3,12
26544,47,29,36,13,16,3,8,3,12
26545,50,28,41,13,11,3,8,7,12
26546,45,28,41,12,14,3,10,8,11
26547,49,27,40,12,15,3,3,8,12
26548,45,28,41,12,12,3,8,9,13
26549,50,29,36,14,11,8,8,3,12
26550,52,27,35,13,15,3,8,7,12
26551,48,30,39,13,12,2,8,8,12
26552,53,25,38,13,13,3,9,3,11
26553,53,26,35,13,12,8,9,3,12
26554,50,25,39,14,15,2,8,3,11
26555,44,27,40,15,13,8,9,9,11
26556,46,29,36,13,13,3,9,8,13
26557,43,28,42,13,14,3,9,8,12
26558,45,26,47,12,13,3,3,3,12
26559,51,27,36,14,12,3,9,8,12
26560,48,25,42,13,11,8,9,8,11
26561,48,26,41,13,14,3,3,9,11
26562,52,27,38,13,10,3,8,8,13
26563,45,32,39,11,14,3,9,7,11
26564,45,26,44,12,14,3,9,8,12
26565,44,28,42,12,15,3,8,8,11
26566,50,29,37,12,12,3,8,8,13
26567,48,27,40,14,12,3,8,7,12
26568,44,28,41,15,14,3,8,3,12
26569,49,31,37,14,11,3,8,3,11
26570,50,23,41,13,13,3,7,8,12
26571,47,32,37,12,14,8,3,3,12
26572,47,31,39,13,12,3,7,8,13
26573,48,28,40,12,12,3,9,3,11
26574,53,22,42,13,10,8,8,8,11
26575,51,27,37,12,13,8,8,3,12
26576,47,29,40,12,10,3,9,8,11
26577,52,26,35,12,13,3,8,8,14
26578,52,25,42,12,12,3,7,3,12
26579,47,27,38,13,14,3,3,9,11
26580,52,29,37,12,11,7,8,8,11
26581,51,27,38,13,13,3,9,7,10
26582,51,26,38,11,13,8,8,9,12
26583,50,25,43,13,11,3,8,3,11
26584,52,24,38,12,13,3,8,9,11
26585,50,29,38,13,13,3,8,7,10
26586,50,27,39,13,11,3,8,7,10
26587,47,30,38,12,11,3,8,8,12
26588,46,27,40,13,16,3,9,8,11
26589,54,27,36,12,12,3,3,8,12
26590,46,27,41,13,12,7,3,8,12
26591,52,27,35,12,14,3,9,3,12
26592,49,27,40,11,13,3,3,8,12
26593,48,24,43,13,12,7,9,8,12
26594,48,28,37,11,13,8,8,8,14
26595,46,30,39,12,14,3,8,3,12
26596,45,32,40,12,14,3,8,3,12
26597,46,26,41,13,12,8,9,3,11
26598,53,27,35,12,13,7,8,8,11
26599,49,27,38,13,14,7,9,3,11
26600,47,22,46,14,11,3,8,8,11
26601,46,25,42,14,13,3,3,7,12
26602,50,28,39,12,11,3,9,3,12
26603,52,27,38,11,12,8,8,7,11
26604,48,29,41,13,10,3,8,8,11
26605,49,27,38,12,12,3,8,8,11
26606,51,24,39,13,12,3,10,7,11
26607,41,28,46,12,13,8,7,8,12
26608,51,27,41,13,10,3,8,3,11
26609,53,27,41,12,10,3,8,8,10
26610,46,25,42,13,15,3,8,7,12
26611,48,27,39,13,12,3,8,8,11
26612,53,27,35,13,14,3,9,3,11
26613,50,28,38,13,12,3,8,3,11
26614,52,24,39,13,12,7,8,8,12
26615,49,26,41,12,12,3,9,8,11
26616,48,27,40,12,13,3,3,7,13
26617,45,27,39,13,15,3,10,8,10
26618,49,30,38,13,12,3,3,3,11
26619,52,28,42,12,7,8,7,3,12
26620,53,26,34,13,13,3,9,7,12
26621,42,27,43,14,15,7,8,8,11
26622,49,27,40,14,13,3,3,3,11
26623,47,27,42,13,12,3,9,8,12
26624,54,22,43,12,11,3,7,8,10
26625,48,28,36,14,13,3,9,3,14
26626,51,25,38,13,13,3,7,8,12
26627,43,33,38,13,13,3,3,8,14
26628,47,31,41,12,10,3,7,8,12
26629,47,29,40,12,13,3,8,8,12
26630,46,28,39,13,14,3,9,3,12
26631,49,29,38,12,13,8,8,3,12
26632,46,28,40,13,15,3,8,8,12
26633,48,24,37,13,16,8,8,9,12
26634,47,27,38,13,14,3,8,9,12
26635,53,26,38,12,12,3,8,7,11
26636,48,29,39,13,10,3,9,3,11
26637,52,25,38,13,12,8,8,7,12
26638,45,30,37,14,14,3,8,7,11
26639,46,28,40,13,12,8,7,8,12
26640,47,27,40,12,13,3,8,9,12
26641,49,27,39,13,13,3,7,7,12
26642,49,28,36,13,14,3,9,7,12
26643,52,30,36,12,11,3,8,8,11
26644,46,28,40,14,13,3,9,3,12
26645,50,26,38,13,12,7,9,8,11
26646,47,25,42,12,15,3,10,8,10
26647,49,28,38,13,11,3,8,8,12
26648,50,27,38,11,11,8,8,8,12
26649,51,27,39,12,12,3,8,7,12
26650,51,26,39,13,10,3,9,8,11
26651,49,27,40,12,13,8,8,3,11
26652,47,27,40,13,12,3,8,9,11
26653,51,27,41,11,12,3,3,8,11
26654,47,31,41,14,8,3,8,3,11
26655,50,29,39,12,11,3,3,8,11
26656,45,30,41,12,13,3,3,3,12
26657,52,28,42,12,10,3,8,3,12
26658,50,30,36,12,13,3,8,3,12
26659,51,28,41,11,13,3,7,8,10
26660,48,28,42,12,12,7,3,3,12
26661,48,31,38,14,14,3,8,3,11
26662,47,29,40,13,11,3,9,3,12
26663,44,27,38,13,13,8,9,9,12
26664,51,29,38,13,12,3,8,7,10
26665,49,29,39,12,12,3,9,3,11
26666,46,27,41,12,13,7,8,9,12
26667,49,28,39,12,12,3,9,3,12
26668,49,26,40,12,13,3,8,8,12
26669,52,30,35,12,13,3,8,3,12
26670,48,32,41,11,11,3,8,3,11
26671,48,28,43,12,10,3,8,8,12
26672,51,26,42,11,11,3,8,8,11
26673,48,26,37,11,16,3,8,8,12
26674,47,29,36,14,11,8,9,3,12
26675,49,28,37,13,14,3,8,8,13
26676,51,24,40,11,13,7,9,8,11
26677,47,29,37,12,15,3,9,3,13
26678,47,29,39,12,11,8,10,8,10
26679,50,25,39,13,15,3,8,8,12
26680,49,28,41,14,10,3,8,8,11
26681,50,25,41,11,13,3,9,3,12
26682,46,28,42,13,11,3,8,7,12
26683,55,25,38,12,11,3,8,9,10
26684,50,31,37,12,10,3,8,7,12
26685,54,25,38,12,13,3,8,8,12
26686,49,27,39,12,12,3,9,3,13
26687,48,25,40,14,13,8,9,8,11
26688,47,25,40,12,14,3,9,8,13
26689,53,28,36,11,15,3,8,3,12
26690,52,26,40,13,12,7,8,3,11
26691,47,26,43,12,10,7,9,9,12
26692,51,29,38,12,12,3,3,8,12
26693,44,31,41,13,12,3,8,3,12
26694,47,29,42,13,11,3,7,7,11
26695,51,27,40,13,11,8,8,3,11
26696,51,25,39,12,11,8,9,7,12
26697,46,28,40,12,11,8,9,8,11
26698,45,28,38,13,17,3,9,3,12
26699,47,27,40,13,14,3,3,8,12
26700,50,28,41,11,14,3,9,3,10
26701,47,27,40,12,16,7,9,7,9
26702,50,27,39,12,12,3,8,7,12
26703,45,28,40,12,15,3,9,8,12
26704,47,30,39,12,12,3,8,3,13
26705,52,24,37,12,12,8,9,8,12
26706,50,25,41,13,11,3,8,3,12
26707,44,25,43,14,15,3,9,7,13
26708,53,25,40,13,11,3,8,3,11
26709,47,28,41,13,13,3,9,8,11
26710,44,31,38,13,13,3,8,8,12
26711,47,25,40,12,13,8,9,9,12
26712,53,26,37,12,14,3,8,7,13
26713,47,26,40,14,13,3,7,8,13
26714,50,29,38,12,13,3,8,8,11
26715,45,25,42,13,13,8,9,8,12
26716,50,30,35,11,13,3,8,8,11
26717,51,22,43,13,13,3,9,3,11
26718,47,27,40,12,15,3,9,8,11
26719,49,27,41,12,14,3,7,3,12
26720,46,27,42,14,13,3,3,3,11
26721,46,27,41,12,15,3,9,8,10
26722,49,26,38,13,12,3,9,8,12
26723,50,27,41,11,12,3,8,7,11
26724,44,28,42,13,14,9,8,7,10
26725,46,30,40,15,8,3,10,7,12
26726,51,28,35,13,10,3,10,8,11
26727,45,27,43,13,12,7,8,8,12
26728,52,27,39,12,12,3,9,3,11
26729,45,27,39,13,15,3,9,8,12
26730,47,27,43,14,12,3,7,8,11
26731,55,27,39,11,10,3,8,8,11
26732,49,29,38,12,12,3,8,8,12
26733,45,26,40,14,16,7,9,8,11
26734,47,26,42,13,13,3,8,7,11
26735,53,27,40,12,12,2,8,3,11
26736,46,28,43,13,10,3,8,7,11
26737,50,27,40,13,13,8,8,3,10
26738,50,24,40,12,14,3,8,8,12
26739,53,25,39,13,12,3,8,8,11
26740,49,28,35,12,13,3,8,7,14
26741,49,27,40,11,16,3,8,3,12
26742,52,28,34,12,15,3,8,8,12
26743,48,24,41,14,14,3,9,3,12
26744,50,28,37,13,13,3,8,8,11
26745,49,23,41,13,12,8,9,8,12
26746,48,28,39,12,12,3,8,8,12
26747,48,26,41,11,12,8,8,8,11
26748,50,29,37,13,12,3,8,3,11
26749,48,32,37,13,11,3,9,3,11
26750,49,27,40,13,13,3,8,3,13
26751,51,26,39,11,14,3,8,8,11
26752,48,27,40,13,12,3,8,7,11
26753,52,26,36,12,12,8,8,8,12
26754,52,29,39,12,9,3,7,8,12
26755,51,27,38,11,12,7,8,8,12
26756,49,29,39,12,11,3,9,7,12
26757,50,25,37,13,14,8,8,8,12
26758,53,24,36,13,12,8,9,3,11
26759,50,28,36,12,12,3,9,7,13
26760,51,28,37,12,13,3,8,7,11
26761,52,26,38,14,12,3,8,3,12
26762,47,29,42,11,12,3,9,3,12
26763,52,22,41,14,12,3,8,8,11
26764,48,28,38,12,14,3,8,8,11
26765,49,22,42,13,14,7,8,3,12
26766,46,28,39,13,13,8,9,8,11
26767,48,29,40,13,12,3,8,7,11
26768,52,26,39,12,13,3,9,3,11
26769,51,27,38,12,11,8,8,8,11
26770,52,27,38,13,11,3,8,8,11
26771,48,30,40,13,12,3,8,8,10
26772,50,28,39,14,11,3,9,7,11
26773,51,26,42,13,11,3,8,8,10
26774,50,27,41,12,13,3,8,8,10
26775,51,30,38,11,11,3,8,3,11
26776,51,28,36,13,13,3,8,7,12
26777,47,25,38,13,16,3,8,8,12
26778,45,28,40,12,12,3,9,8,13
26779,49,28,41,11,10,3,10,8,12
26780,47,25,42,13,13,3,8,3,12
26781,49,27,40,13,11,3,8,8,11
26782,49,24,42,11,13,3,9,8,11
26783,50,31,35,11,14,3,8,3,12
26784,46,30,39,13,12,3,8,8,11
26785,48,28,42,13,12,3,9,7,11
26786,51,27,40,11,12,3,9,8,10
26787,46,30,40,13,13,3,7,3,11
26788,55,25,39,11,12,3,7,3,11
26789,49,30,41,11,13,3,8,3,11
26790,46,32,37,12,15,7,8,3,11
26791,50,24,41,13,13,8,8,7,12
26792,49,30,39,11,11,8,8,9,11
26793,53,26,37,12,11,3,3,7,14
26794,48,26,41,14,13,3,7,8,11
26795,50,32,37,12,12,3,3,3,11
26796,47,25,39,12,12,8,9,9,12
26797,45,30,38,12,16,3,8,3,12
26798,51,26,41,11,12,8,3,8,12
26799,50,29,39,12,11,7,8,8,11
26800,47,26,41,13,13,3,8,3,12
26801,45,30,39,14,14,3,8,3,13
26802,46,27,41,11,13,8,8,8,10
26803,49,31,38,11,13,3,3,8,12
26804,51,24,39,12,13,3,8,8,12
26805,51,30,37,12,13,3,8,7,11
26806,45,27,41,13,13,3,3,9,13
26807,48,26,36,15,17,3,9,3,13
26808,49,26,38,13,15,3,9,7,11
26809,49,27,37,14,15,3,8,3,13
26810,48,28,41,12,14,8,7,3,11
26811,46,27,41,13,15,3,8,8,11
26812,52,25,40,13,12,3,8,8,11
26813,49,26,41,12,11,3,9,8,13
26814,48,26,42,13,13,3,3,8,11
26815,52,23,41,11,16,7,3,8,11
26816,50,25,38,13,14,3,10,3,11
26817,46,31,39,13,11,3,9,8,11
26818,51,27,39,13,12,3,8,7,11
26819,51,27,41,13,9,7,7,7,11
26820,48,31,42,12,10,3,3,3,11
26821,49,27,40,13,13,3,7,7,11
26822,47,25,41,14,13,3,8,8,12
26823,51,27,42,12,12,3,7,3,11
26824,49,27,39,13,12,3,8,8,10
26825,50,25,39,13,12,7,9,8,11
26826,51,27,38,12,13,3,9,7,12
26827,51,26,39,14,11,8,8,3,11
26828,46,28,40,14,13,3,8,3,12
26829,48,28,40,14,12,8,8,8,11
26830,47,26,44,13,14,3,8,8,11
26831,47,29,40,12,14,3,8,8,13
26832,53,26,35,13,14,3,3,8,13
26833,50,30,36,12,13,3,3,3,12
26834,49,28,38,12,14,3,8,7,13
26835,48,28,41,11,15,3,3,3,12
26836,48,25,42,13,13,8,8,8,11
26837,47,28,42,13,11,3,8,8,11
26838,53,27,36,11,12,3,8,8,11
26839,49,27,38,11,13,3,9,7,14
26840,49,28,39,13,13,3,7,7,11
26841,48,29,38,13,11,8,10,7,10
26842,49,30,39,12,11,3,8,3,11
26843,45,33,35,12,14,3,7,8,12
26844,49,29,40,11,11,3,8,8,10
26845,48,26,41,11,12,3,8,9,12
26846,55,25,37,12,11,3,8,8,11
26847,51,27,37,12,10,8,7,8,12
26848,51,27,40,12,11,3,8,3,12
26849,47,28,43,11,14,3,7,8,11
26850,49,30,38,13,12,7,8,3,11
26851,49,29,39,12,12,3,8,8,11
26852,48,29,41,11,11,3,8,7,12
26853,51,27,40,12,13,3,9,3,12
26854,48,28,37,13,13,8,8,8,12
26855,50,26,39,12,12,3,9,8,12
26856,45,31,40,11,13,3,8,8,11
26857,51,27,37,12,15,3,9,3,10
26858,49,28,40,13,12,3,8,7,11
26859,47,29,39,11,13,3,8,8,13
26860,50,28,38,13,13,3,9,3,11
26861,48,29,40,12,13,7,8,7,11
26862,50,27,40,11,13,3,8,8,11
26863,48,27,44,14,13,3,3,8,10
26864,50,25,41,12,12,3,9,3,11
26865,48,22,43,12,15,3,9,8,12
26866,46,25,41,13,13,3,8,3,13
26867,53,29,37,12,10,7,8,3,11
26868,50,30,35,13,12,3,9,7,12
26869,49,25,37,13,14,8,9,7,12
26870,51,27,37,13,12,3,9,7,12
26871,50,27,38,13,10,3,9,8,12
26872,50,26,40,12,14,3,9,3,10
26873,51,30,36,12,13,3,9,3,12
26874,51,24,41,14,11,3,8,7,12
26875,51,27,45,12,9,3,3,7,12
26876,52,24,39,11,13,3,8,8,12
26877,46,34,38,12,11,3,9,3,11
26878,53,23,40,13,14,3,8,8,11
26879,47,30,39,13,12,3,8,8,11
26880,48,26,39,12,13,8,8,8,11
26881,52,27,39,12,11,3,7,3,12
26882,44,27,41,13,14,3,8,8,11
26883,51,28,37,12,16,2,7,3,11
26884,49,31,38,12,12,3,8,8,11
26885,51,27,41,11,14,3,3,8,11
26886,48,28,42,12,14,3,3,3,12
26887,45,32,38,11,12,7,9,8,11
26888,47,31,43,13,8,8,8,8,10
26889,49,27,38,13,11,3,10,3,12
26890,48,29,42,12,10,8,8,3,11
26891,47,31,37,13,13,3,9,8,11
26892,49,29,40,13,12,3,7,8,10
26893,49,27,37,13,12,8,9,9,10
26894,53,23,40,12,12,3,9,8,11
26895,43,30,39,12,15,3,8,9,12
26896,51,25,39,12,13,3,9,7,12
26897,45,27,40,12,14,7,9,3,12
26898,57,25,35,11,13,3,3,8,12
26899,44,29,40,13,13,3,8,7,13
26900,48,25,40,12,13,8,9,8,12
26901,49,28,42,13,8,3,9,8,10
26902,52,28,40,12,10,3,9,7,11
26903,48,27,40,13,14,3,7,7,11
26904,52,28,36,12,14,3,8,3,12
26905,48,27,41,12,13,8,8,3,11
26906,48,28,40,12,13,3,7,8,12
26907,51,27,36,11,13,3,8,9,12
26908,47,30,39,13,12,3,9,3,12
26909,50,28,36,13,12,8,8,8,12
26910,48,26,41,12,15,3,3,8,12
26911,50,26,40,11,13,3,8,8,11
26912,52,27,39,12,10,7,9,8,11
26913,49,26,37,12,14,3,9,8,12
26914,53,25,38,12,15,3,8,9,10
26915,45,29,42,13,12,3,3,8,12
26916,47,28,42,12,11,3,8,8,11
26917,51,26,40,12,12,3,7,7,12
26918,45,26,38,12,15,3,10,8,12
26919,47,29,40,13,11,3,8,8,11
26920,47,28,41,12,12,3,8,7,12
26921,48,27,39,15,12,3,9,3,11
26922,46,32,40,13,13,2,9,3,12
26923,48,29,37,12,11,3,8,8,13
26924,53,24,39,12,12,8,8,7,10
26925,48,29,39,13,12,3,8,3,11
26926,52,22,38,14,15,7,8,8,12
26927,49,28,37,13,13,3,8,8,12
26928,48,29,42,12,10,3,8,8,11
26929,49,26,38,13,15,3,9,8,12
26930,51,28,35,13,13,8,7,3,13
26931,50,26,38,12,13,7,8,7,12
26932,45,25,42,13,13,8,9,8,12
26933,48,30,41,11,11,3,8,7,11
26934,47,29,42,12,13,3,8,3,12
26935,46,29,40,13,12,7,8,7,11
26936,48,27,38,14,12,3,9,8,12
26937,54,27,38,12,11,3,8,7,10
26938,44,28,40,14,12,3,8,9,13
26939,50,26,42,12,12,3,8,3,11
26940,48,27,38,13,15,3,8,3,13
26941,49,28,39,13,12,3,9,8,11
26942,46,31,39,12,13,3,9,3,12
26943,51,27,35,12,14,3,8,9,11
26944,47,32,38,12,10,3,9,8,11
26945,52,28,35,12,12,7,7,8,12
26946,49,28,39,13,14,3,8,8,11
26947,50,26,40,13,14,2,3,8,11
26948,51,27,38,13,14,3,3,7,11
26949,46,30,39,13,12,7,7,8,12
26950,46,29,44,13,10,3,9,8,11
26951,51,28,37,13,12,3,3,8,11
26952,50,26,39,13,12,7,8,7,12
26953,47,25,40,13,14,3,8,8,13
26954,44,30,37,13,15,3,9,8,13
26955,49,30,36,13,12,3,9,3,13
26956,55,26,37,11,12,2,8,7,12
26957,50,24,42,13,11,3,8,3,11
26958,45,31,41,12,11,3,8,8,13
26959,47,30,38,12,12,3,8,8,12
26960,51,28,38,12,13,3,8,7,11
26961,50,27,38,12,13,8,8,8,10
26962,47,27,43,12,13,3,8,7,11
26963,48,26,39,12,13,3,8,8,13
26964,46,29,37,13,12,9,10,8,10
26965,53,28,39,11,11,3,3,8,11
26966,51,25,36,13,13,3,9,8,12
26967,49,26,40,14,12,7,8,8,10
26968,49,29,36,13,13,7,9,3,12
26969,53,25,37,12,14,3,8,8,11
26970,48,26,39,14,12,8,8,8,12
26971,54,28,38,12,11,3,7,8,11
26972,51,29,41,13,10,3,3,3,10
26973,48,32,35,12,11,7,3,8,12
26974,45,32,41,14,11,3,8,8,10
26975,48,28,39,14,11,3,9,8,12
26976,48,26,39,14,13,3,7,8,12
26977,48,30,37,12,11,3,8,8,11
26978,52,28,36,11,15,3,8,3,12
26979,50,23,40,13,13,8,8,8,11
26980,47,29,38,13,13,7,9,3,12
26981,51,25,40,13,11,7,8,8,13
26982,49,27,40,13,12,3,9,3,11
26983,48,30,36,12,15,3,3,3,13
26984,49,24,41,13,13,3,8,8,12
26985,51,29,39,13,11,3,3,7,12
26986,52,27,36,11,12,3,10,3,12
26987,49,27,38,13,12,3,8,8,12
26988,48,30,39,12,10,3,9,7,12
26989,50,28,39,13,13,3,8,7,12
26990,49,27,35,14,11,8,10,8,12
26991,49,23,41,13,13,7,9,8,11
26992,47,27,41,14,13,3,3,8,11
26993,49,30,38,12,12,3,8,3,12
26994,51,26,36,13,13,8,8,8,10
26995,51,31,35,12,12,3,9,8,11
26996,51,28,38,13,11,3,8,8,12
26997,51,27,37,13,15,3,3,8,11
26998,54,26,39,12,12,3,3,3,11
26999,45,29,40,14,12,3,7,7,13
27000,46,28,41,13,13,7,8,8,11
27001,53,22,38,13,12,8,9,7,11
27002,46,27,42,12,14,3,8,7,12
27003,51,29,32,14,14,8,7,7,12
27004,48,29,42,12,12,3,8,3,12
27005,50,26,40,14,11,3,8,8,11
27006,46,28,42,12,13,3,8,3,11
