,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt
158,51,25,39,14,12,3,9,3,12
159,47,27,41,15,11,3,7,8,11
160,54,28,33,12,12,3,8,8,12
161,48,27,43,13,11,7,9,8,10
162,48,28,41,13,13,7,8,7,12
163,52,24,37,13,13,3,8,8,12
164,48,30,35,14,12,3,9,8,12
165,46,30,39,12,13,3,7,9,12
166,48,30,37,13,13,3,3,3,12
167,50,24,42,13,13,3,8,8,12
168,48,30,38,12,11,3,9,8,11
169,48,22,42,13,15,3,9,8,12
170,51,26,39,13,12,3,3,8,12
171,52,22,40,11,14,7,9,8,12
172,42,30,41,12,15,3,8,3,13
173,49,29,40,12,12,3,7,8,11
174,47,27,46,14,11,3,8,3,10
175,52,27,36,13,12,3,9,3,11
176,50,27,37,13,13,3,8,8,12
177,54,26,39,12,12,3,9,3,10
178,53,27,38,13,11,3,7,7,10
179,51,26,39,13,12,3,7,3,12
180,45,27,39,13,14,7,9,8,13
181,49,28,43,12,10,3,8,3,11
182,49,26,38,12,13,3,10,7,12
183,50,29,41,12,11,3,8,8,10
184,51,27,39,13,13,3,8,7,12
185,46,26,44,13,13,3,8,8,10
186,50,28,40,12,12,3,3,3,12
187,45,28,40,12,13,3,9,8,13
188,52,29,36,13,13,3,8,3,11
189,50,25,40,11,14,3,8,7,12
190,50,26,40,12,15,3,3,3,12
191,48,30,41,12,10,3,3,8,11
192,47,28,43,11,10,3,3,9,11
193,44,28,41,13,13,3,9,8,11
194,51,29,38,12,12,3,9,8,10
195,50,29,37,13,13,3,9,3,11
196,50,25,42,12,12,3,8,8,11
197,50,29,37,13,13,3,9,8,11
198,49,23,43,13,13,7,9,3,11
199,49,28,40,12,12,3,8,7,12
200,44,27,42,13,15,3,7,8,11
201,48,26,40,12,11,7,9,7,11
202,47,26,41,12,12,3,8,8,12
203,47,26,40,13,13,3,8,8,12
204,54,27,38,12,12,3,8,3,11
205,48,28,42,13,12,3,8,8,10
206,43,27,41,13,14,7,9,8,11
207,44,25,41,14,13,7,10,8,12
208,52,28,38,13,10,7,8,8,10
209,52,26,40,12,11,3,8,8,11
210,45,27,40,11,15,3,8,8,13
211,50,29,39,12,11,8,8,3,12
212,50,23,41,13,14,3,8,9,10
213,50,28,40,13,10,3,8,3,12
214,53,29,34,13,15,3,3,3,10
215,51,28,36,12,11,8,10,3,11
216,49,28,38,12,13,3,7,3,13
217,51,29,36,13,9,3,9,8,11
218,47,28,41,12,12,7,8,8,11
219,49,26,37,13,15,3,8,7,12
220,50,28,40,12,13,3,8,3,11
221,52,23,39,12,11,7,8,9,12
222,45,28,40,14,11,8,9,8,12
223,52,22,41,12,13,3,8,3,12
224,48,27,39,13,12,3,8,9,11
225,52,24,37,13,14,3,9,3,12
226,50,31,37,12,11,3,8,7,11
227,47,28,41,13,12,3,8,8,11
228,50,33,36,10,11,3,8,8,12
229,48,25,38,13,15,3,8,8,11
